area	year	production	area_harvested
Myanmar	2014	26.4	6.9
Myanmar	2013	26.4	7.0
Myanmar	2012	26.2	7.0
Myanmar	2011	28.6	7.6
Myanmar	2010	32.1	8.0
Myanmar	2009	32.2	8.1
Myanmar	2008	32.1	8.1
Myanmar	2007	31.0	8.0
Myanmar	2006	30.4	8.1
Myanmar	2005	27.2	7.4
Myanmar	2004	24.4	6.8
Myanmar	2003	22.8	6.5
Myanmar	2002	21.5	6.4
Myanmar	2001	21.6	6.4
Myanmar	2000	21.0	6.3
Myanmar	1999	20.1	6.2
Myanmar	1998	16.8	5.5
Myanmar	1997	16.4	5.4
Myanmar	1996	17.4	5.8
Myanmar	1995	17.7	6.0
Myanmar	1994	17.9	5.7
Myanmar	1993	16.5	5.5
Myanmar	1992	14.6	5.1
Myanmar	1991	13.0	4.6
Myanmar	1990	14.0	4.8
Myanmar	1989	13.8	4.7
Myanmar	1988	13.2	4.5
Myanmar	1987	13.6	4.5
Myanmar	1986	14.1	4.7
Myanmar	1985	14.3	4.7
Myanmar	1984	14.3	4.6
Myanmar	1983	14.3	4.7
Myanmar	1982	14.4	4.6
Myanmar	1981	14.1	4.8
Myanmar	1980	13.3	4.8
Myanmar	1979	10.4	4.4
Myanmar	1978	10.5	5.0
Myanmar	1977	9.5	4.9
Myanmar	1976	9.3	4.9
Myanmar	1975	9.2	5.0
Myanmar	1974	8.6	4.9
Myanmar	1973	8.6	4.9
Myanmar	1972	7.4	4.5
Myanmar	1971	8.2	4.8
Myanmar	1970	8.2	4.8
Myanmar	1969	8.0	4.7
Myanmar	1968	8.0	4.8
Myanmar	1967	7.8	4.7
Myanmar	1966	6.6	4.5
Myanmar	1965	8.1	4.8
Myanmar	1964	8.5	5.0
Myanmar	1963	7.8	4.9
Myanmar	1962	7.7	4.7
Myanmar	1961	6.8	4.3
Philippines	2021	20.0	4.8
Philippines	2020	19.3	4.7
Philippines	2019	18.8	4.7
Philippines	2018	19.1	4.8
Philippines	2017	19.3	4.8
Philippines	2016	17.6	4.6
Philippines	2015	18.1	4.7
Philippines	2014	19.0	4.7
Philippines	2013	18.4	4.7
Philippines	2012	18.0	4.7
Philippines	2011	16.7	4.5
Philippines	2010	15.8	4.4
Philippines	2009	16.3	4.5
Philippines	2008	16.8	4.5
Philippines	2007	16.2	4.3
Philippines	2006	15.3	4.2
Philippines	2005	14.6	4.1
Philippines	2004	14.5	4.1
Philippines	2003	13.5	4.0
Philippines	2002	13.3	4.0
Philippines	2001	13.0	4.1
Philippines	2000	12.4	4.0
Philippines	1999	11.8	4.0
Philippines	1998	8.6	3.2
Philippines	1997	11.3	3.8
Philippines	1996	11.3	4.0
Philippines	1995	10.5	3.8
Philippines	1994	10.5	3.7
Philippines	1993	9.4	3.3
Philippines	1992	9.1	3.2
Philippines	1991	9.7	3.4
Philippines	1990	9.9	3.3
Philippines	1989	9.5	3.5
Philippines	1988	9.0	3.4
Philippines	1987	8.5	3.3
